name,B,category,seq,account_name,amount,type,level,Ledger_Account_Number,element_name,English_Label
　　　　　　Total purchase of goods from traditional transactions,0.0,Cost of sales,,Total purchase of goods from traditional transactions,,T,6,10E100114,,Total purchase of goods from traditional transactions
　　　　　　　Total purchase of goods from traditional transactions,0.0,Cost of sales,,Total purchase of goods from traditional transactions,,0,7,10E100112,,Total purchase of goods from traditional transactions
　　　　　　　Cost of purchased goods from traditional transactions,0.0,Cost of sales,,Cost of purchased goods from traditional transactions,,0,7,10E100132,,Cost of purchased goods from traditional transactions
　　　　　　　Purchase allowance and returns from traditional transactions,0.0,Cost of sales,,Purchase allowance and returns from traditional transactions,,0,7,10E100122,,Purchase allowance and returns from traditional transactions
　　　　　Purchase allowance and returns,0.0,Cost of sales,,Purchase allowance and returns,,0,5,10E100120,CostNonConstructionSalesPurchaseReturnsAllowances,Purchase allowance and returns
　　　　　Cost of purchased goods,0.0,Cost of sales,,Cost of purchased goods,,0,5,10E100130,CostOfPurchasedGoods,Cost of purchased goods
　　　　　Ending merchandise inventory,0.0,Cost of sales,,Ending merchandise inventory,,1,5,10E100140,EndingGoodsCOS,Ending merchandise inventory
　　　　　Total,0.0,Cost of sales,,Total,,1,5,10E100150,TotalBeginningAndPurchaseOfGoods,Total
　　　　　Goods transfer to other account,0.0,Cost of sales,,Goods transfer to other account,,1,5,10E100160,GoodsTransferToOtherAccountCOS,Goods transfer to other account
　　　　　Valuation loss on goods,0.0,Cost of sales,,Valuation loss on goods,,1,5,10E100170,ValuationLossOnGoodsCOS,Valuation loss on goods
　　　　　Subtotal,0.0,Cost of sales,,Subtotal,,1,5,10E100180,SubtotalCOSGoods,Subtotal
　　　　　Net,0.0,Cost of sales,,Net,,1,5,10E100190,NetCOSGoods,Net
　　　　　Cost of goods sold,0.0,Cost of sales,,Cost of goods sold,,1,5,10E100200,CostOfGoodsSold,Cost of goods sold
　　　　Cost of finished goods sold,,Cost of sales,,Cost of finished goods sold,,T,4,10E100210,CostOfFinishedGoodsSoldAbstract,Cost of finished goods sold
　　　　　Beginning finished goods inventory,0.0,Cost of sales,,Beginning finished goods inventory,,1,5,10E100220,BeginningFinishedGoodsCOS,Beginning finished goods inventory
　　　　　Cost of products manufactured,0.0,Cost of sales,,Cost of products manufactured,,1,5,10E100230,CostOfProductsManufactured,Cost of products manufactured
　　　　　Purchase of finished goods,0.0,Cost of sales,,Purchase of finished goods,,1,5,10E100240,PurchaseOfFinishedGoodsCOS,Purchase of finished goods
　　　　　Ending finished goods inventory,0.0,Cost of sales,,Ending finished goods inventory,,1,5,10E100250,EndingFinishedGoodsCOS,Ending finished goods inventory
　　　　　Total,0.0,Cost of sales,,Total,,1,5,10E100260,TotalBeginningFinishedGoodsAndCostOfProductsManufacturedForThePeriod,Total
　　　　　Finished goods transfer to other account,0.0,Cost of sales,,Finished goods transfer to other account,,1,5,10E100270,FinishedGoodsTransferToOtherAccountCOS,Finished goods transfer to other account
　　　　　Valuation loss on finished goods,0.0,Cost of sales,,Valuation loss on finished goods,,1,5,10E100280,ValuationLossOnFinishedGoodsCOS,Valuation loss on finished goods
　　　　　Valuation loss on raw materials,0.0,Cost of sales,,Valuation loss on raw materials,,1,5,10E100290,ValuationLossOnRawMaterialsCOS,Valuation loss on raw materials
　　　　　Subtotal,0.0,Cost of sales,,Subtotal,,1,5,10E100300,SubtotalCOSFinishedGoods,Subtotal
　　　　　Net,0.0,Cost of sales,,Net,,1,5,10E100310,NetCOSFinishedGoods,Net
　　　　　Cost of finished goods sold,0.0,Cost of sales,,Cost of finished goods sold,,1,5,10E100320,CostOfFinishedGoodsSold,Cost of finished goods sold
　　　　Transfer to other account,0.0,Cost of sales,,Transfer to other account,,1,4,10E100330,TransferToOtherAccountCOS,Transfer to other account
　　　　Transfer from other account,0.0,Cost of sales,,Transfer from other account,,1,4,10E100340,TransferFromOtherAccountCOS,Transfer from other account
　　　　Transfer of goods by merger,0.0,Cost of sales,,Transfer of goods by merger,,1,4,10E100350,TransferOfGoodsByMergerCOS,Transfer of goods by merger
　　　　Cost variances,0.0,Cost of sales,,Cost variances,,1,4,10E100360,CostPriceBalanceCOS,Cost variances
　　　　Cost of merchandise and finished goods sold,0.0,Cost of sales,,Cost of merchandise and finished goods sold,,1,4,10E100370,CostOfMerchandiseAndFinishedGoodsSoldCOS,Cost of merchandise and finished goods sold
　　　　　Beginning inventory of merchandise and finished goods,0.0,Cost of sales,,Beginning inventory of merchandise and finished goods,,1,5,10E100380,BeginningMerchandiseAndFinishedGoodsCOS,Beginning inventory of merchandise and finished goods
　　　　　Cost of purchased merchandise and finished goods,0.0,Cost of sales,,Cost of purchased merchandise and finished goods,,1,5,10E100390,CostOfPurchasedMerchandiseAndFinishedGoodsCOS,Cost of purchased merchandise and finished goods
　　　　　Total,0.0,Cost of sales,,Total,,1,5,10E100400,TotalBeginningAndCostPurchasedMerchandiseAndFinishedGoodsCOS,Total
